ID,EYES,MOUTH,HAIR,BODY,FRONT,BACK,SYMBOL,INTERFACE,CLOTHING,ACCESSORIES,SKYBACK,SOLIDBACK,SKY,SCAPE,SCENE,TRIBE,REOLM,1/1 Trait,ONE_TAG,CCO,DEPTH
11,Hunter,Kiss,Long Spike,SO01,-,SO01,C,OFF,Red Coat,Tiny Sunglasses,Morning,Black,Morning,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
12,+ +,-,Fire,HU02,-,-,C,OFF,FFE600 Puff Jacket,WAGMI Mask,Morning,Black,Morning,Canyon,Outskirts,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
13,Panda,Meh,Monk,DE03,DE03,-,T,OFF,Red Bear Race Suit,Headphone,Night,Black,Night,Statue,Outskirts,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
14,Dot,Swallowed Eye,Blue Bandana,UN02,UN02,-,-,Level1,Crimson Leather Jacket,Black Snake,Afternoon,Purple,Afternoon,Canyon,City,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
15,Dizzy,Cat,Two-Tone Middle Part,DE01,DE01,-,-,OFF,Bullish Tank Top,Plaster,Night,Black,Night,Statue,City,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
16,Samurai,Chewing,Blue Bandana,DR03,-,-,-,OFF,Cloud Sweater,Fire Sunglasses,Evening,Red,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
17,Baka,Bored,Long Bob,UN01,UN01,-,T,Level2,Denim Jacket,Golden Elf Ear Cuffs,Evening,Red,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
18,Roremu,Lip Ring,Double Bun,HU02,-,-,-,Level2,Student Dress,Crescent Earrings,Afternoon,Black,Afternoon,-,Downtown,Hurem,MiddleReolm,-,-,Private,Sky + Scene
19,Dizzy,Biting Lip,Buzz,HU02,-,-,-,OFF,Monk Beads,Hoop Earrings,Night,White,Night,Mother,Factory,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
20,Smart,Droid,Bob,HU03,-,-,-,Level2,Roremu Tee,Nose-to-Ear Chain,Morning,Purple,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Sky
21,Sweet,F,Green Cap,OR03,OR03,-,C,Level3,White Vest,Butterflies,Afternoon,Red,Afternoon,Statue,Downtown,Orcrem,UnderReolm,-,-,Private,Sky + Scape + Scene
22,Tricky,-,Dreadlocks Undercut,UN01,UN01,-,C,Level2,White Robe,WAGMI Mask,Evening,White,Evening,Stars,Temple,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
23,Sweet,Stitched,Polka-Dot Sun Hat,DE01,DE01,-,-,OFF,Green Turtleneck,Golden Lightning Ear Cuff,Night,Red,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
24,-,Poo Poo,Red Bandana,DE03,DE03,-,T,OFF,Black Camisole,Interface Headset,Evening,Purple,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
25,Rolling,Bored,Undercut,GA02,GA02,GA02,-,OFF,Nobody Hoodie,Stickers,Night,Red,Night,-,-,Galarem,UpperReolm,-,-,Private,Gradient Sky
26,Yacky,+,Chignon,HU01,-,-,-,Level1,Cloud Sweater,White Glasses,Morning,Black,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
27,Wink,Oh,High Braid,DE01,DE01,-,R,Level4,Beige Coat,Nosebleed Tissue,Night,White,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
28,Third Eye,Dental Braces,Monk,HU02,-,-,-,OFF,White Turtleneck,Nose-to-Ear Chain,Evening,Purple,Evening,Skyscape,Downtown,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
29,60s,Frantic,White Knit Hat,HU02,-,-,-,OFF,Purple Baseball Jacket,Golden Elf Ear Cuffs,Night,Black,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
30,Hypnotized,Laser,Cropped,HU01,-,-,-,Level1,Beige Coat,Heart Eye Patch,Afternoon,Black,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
31,-,Scowling,Cropped,DR02,-,-,T,Level3,Rorschach Hoodie,90s Sunglasses,Afternoon,Black,Afternoon,Skyscape,Balcony,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
32,Big,-,Ponytail,DE02,DE02,-,R,Level1,Student Dress,Talisman,Evening,Purple,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
33,Looking Down,-,Head in the Clouds,SO02,-,SO02,-,OFF,Student Dress,Ohayo Face Veil,Afternoon,Red,Afternoon,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
34,Hehe,Calm,Long Wavy,DR01,-,-,C,Level2,Op Art Turtleneck,Fire Sunglasses,Morning,Red,Morning,Stars,-,Droidrem,MiddleReolm,-,-,Private,Sky + Scape
35,Happy,Droid,Grey Beanie,DR01,-,-,C,Level1,Student Shirt,Plasters,Evening,White,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
36,White,Lip Piercings,Flat Top,SO01,-,SO01,-,Level4,Black Camisole,Golden Snake Earrings,Night,Black,Night,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
37,-,Lipstick,Short Punk Mullet,OR02,OR02,-,T,OFF,Red Tee,Interface Headset,Morning,White,Morning,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
38,Monk,Lipstick,Undercut,HU03,-,-,T,Level1,Purple Turtleneck,Golden Cross Earrings,Afternoon,Black,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
39,Hypnotized,Modeling,Grey Beanie,AN01,AN01,AN01,R,Level1,Red Bodysuit,Hoop Earrings,Afternoon,Purple,Afternoon,Castle,Balcony,Angrem,UpperReolm,-,-,Private,Sky + Scape + Scene
40,Charming,Tongue Out,Left Over,HU02,-,-,-,Level2,Bullish Jacket,Hoop Earrings,Morning,Purple,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
41,Shocked,Frantic,Spike,OR01,OR01,-,-,Level3,Blue Track Jacket,Nosebleed Tissue,Evening,White,Evening,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
42,Eh,Biting Tongue,Low Braid,UN02,UN02,-,-,Level4,Colorblock Track Jacket,Plaster,Evening,Black,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
43,Shut,Calm,Buddha Bun,HU03,-,-,-,Level1,White Suit,Hoop Earrings,Afternoon,Black,Afternoon,Canyon,Factory,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
44,Dead,Shocked,Spike,DR02,DR02,DR02,-,OFF,3Land Hoodie,Good Mood,Night,White,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
45,-,Modeling,Left Over,UN03,UN03,-,T,Level1,Rolled-Sleeve Tee,Ancient Sunglasses,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
46,Naive,Biting Lip,Purple Knit Hat,DE03,DE03,-,-,OFF,Yellow Jumpsuit,White Glasses,Evening,Purple,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
47,Satisfied,Modeling,Two-Tone Middle Part,SO02,-,SO02,C,Level1,Rolled-Sleeve Tee,Golden Elf Ear Cuffs,Evening,Purple,Evening,Skyscape,Downtown,Soulrem,UpperReolm,-,-,Private,Sky + Scape + Scene
48,-,Meh,Braids,UN03,UN03,-,-,OFF,Red Haori,90s Sunglasses,Evening,White,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
49,Delighted,Bored,High Braid,SO03,-,SO03,-,Level3,Fire Turtleneck,Golden Lightning Ear Cuff,Evening,Red,Evening,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
50,Lightning,Duck Face,Blue Sun Hat,XA01,XA01,XA01,T,OFF,-,Golden Safety Pin Earrings,Afternoon,White,Afternoon,Statue,-,Xamrem,Reolmless,The Luminance,1/1 Trait,Private,Sky + Scape
51,Alien,Modeling,Artificial Brain,AN01,AN01,AN01,C,Level1,Student Shirt,Rocker Sunglasses,Afternoon,Red,Afternoon,-,-,Angrem,UpperReolm,-,-,Private,Gradient Sky
52,Fighter,Kiss,Flat Top,OR03,OR03,-,T,Level2,GM GA GE GN Tee,Freckles,Night,Red,Night,Valley,Factory,Orcrem,UnderReolm,-,-,Private,Sky + Scape + Scene
53,Yacky,Frantic,Long Wavy,DE03,DE03,-,-,Level1,Dark Purple Suit,Golden Fire Ear Cuff,Night,Black,Night,Stars,-,Devrem,UnderReolm,-,-,Private,Sky + Scape
54,Eh,Yummy,Long Layered,DE01,DE01,-,T,Level1,Monk Beads,Tiny Sunglasses,Evening,Red,Evening,Castle,Park,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
55,White,Orc,Blue Sun Hat,DR01,-,-,-,OFF,Red Bodysuit,Golden Fire Ear Cuff,Morning,Black,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
56,Stitched,-,Chignon,HU02,-,-,T,Level5,Cloud Sweater,WAGMI Mask,Afternoon,Red,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
57,Baka,Lollipop,Braids,HU02,-,-,-,Level5,Yellow Tee,Crescent Earrings,Night,Black,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
58,Frog,Star Stamp,Brown Military Watch Cap,UN01,UN01,-,-,OFF,Bandage,Golden Snake Earrings,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
59,Third Eye,Orc,Undercut,UN01,UN01,-,-,Level1,Bullish Tee,Golden Frame Glasses,Night,Black,Night,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
60,Happy,Blow,Cropped,DE03,DE03,-,-,OFF,White Turtleneck,Golden Lightning Ear Cuff,Night,White,Night,Castle,-,Devrem,UnderReolm,-,-,Private,Sky + Scape
61,Angry,-,Long Wavy,UN01,UN01,-,-,Level4,White Vest,Oni Mask,Morning,Purple,Morning,Mother,Temple,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
62,Pixel,Frog,Curly,UN01,UN01,-,-,Level1,Gasu Tee,Pearls,Night,White,Night,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
63,Dead,Biting Tongue,White Bucket Hat,HU02,-,-,-,OFF,Nobody Hoodie,Butterfly Sunglasses,Night,Red,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
64,Devil,Tongue Piercing,Short Layered,SO02,-,SO02,R,OFF,LOREM White Tee,Golden Lightning Ear Cuff,Night,White,Night,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
65,Closed,Frantic,Short Punk Mullet,DR02,-,-,-,Level1,Yellow Jumpsuit,Minimal Tattoos,Afternoon,Black,Afternoon,Statue,City,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
66,Rolling,Tongue Out,Buddha Bun,HU01,-,-,R,Level1,Blue Track Jacket,Scars,Afternoon,Purple,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
67,-,Modeling,Red Beanie,DR02,-,-,C,OFF,LOREM White Tee,Interface Headset,Night,Red,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
68,Sweet,Chewing,Purple Knit Hat,HU03,-,-,C,Level4,Student Dress,Golden Safety Pin Earrings,Morning,Black,Morning,-,Dump,Hurem,MiddleReolm,-,-,Private,Sky + Scene
69,Nervous,Golden Teeth,Gradient Bob,DR03,-,-,-,Level5,Gasu Tee,-,Afternoon,Black,Afternoon,Mountain,Downtown,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
70,Pixel,Happy,Polka-Dot Sun Hat,DR01,-,-,-,OFF,Unbuttoned Student Shirt,-,Evening,Red,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
71,Curious,-,Flat Top,UN01,UN01,-,C,Level2,Nobody Hoodie,Black Mask,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
72,Wink,-,Purple Knit Hat,UN03,UN03,-,R,OFF,Two-Tone Tee,Lightning Mask,Afternoon,Black,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
73,Yacky,-,Flat Top,DR03,-,-,-,Level3,Colorblock Track Jacket,WAGMI Mask,Night,Black,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
74,Naive,Chili Pepper,Gradient Bob,SO02,-,SO02,-,OFF,Cyberpunk Bodysuit,Golden Frame Glasses,Evening,Red,Evening,-,Downtown,Soulrem,UpperReolm,-,-,Private,Sky + Scene
75,Hehe,Frog,Spike,DR03,-,-,-,OFF,LOREM Black Tee,Nosebleed Tissue,Evening,White,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
76,Laughing,Lip Piercing,Dreadlocks,HU02,-,-,C,Level4,Unbuttoned Two-Tone Shirt,Plasters,Afternoon,Purple,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
77,Delighted,Tongue Out,LOREM Cap,DR01,-,-,-,OFF,Red Bear Tee,Round Glasses,Afternoon,White,Afternoon,Castle,Dump,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
78,-,Frog,Curly,EL01,EL01,-,-,Level3,Laser Suit,VR Headset,Evening,Black,Evening,Mountain,City,Elvrem,UnderReolm,-,-,Private,Sky + Scape + Scene
79,Dot,Animal,Chignon,UN03,UN03,-,-,Level1,White Tank Top,Headphone,Night,Red,Night,Canyon,Park,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
80,Blink,+,Elf,UN02,UN02,-,-,OFF,Bullish Jacket,Black Snake,Evening,Red,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
81,Angry,Porcelain Lips,Left Over,HU01,-,-,T,Level2,Red Puff Jacket,Stickers,Morning,Black,Morning,Skyscape,Downtown,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
82,Stitched,Cigarette,Long,UN03,UN03,-,C,OFF,Blue Cheongsam,Headphone,Afternoon,Black,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
83,Samurai,Um,Left Over,DE01,DE01,-,-,Level2,Cloud Shirt,Hoop Earrings,Afternoon,Red,Afternoon,Castle,Downtown,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
84,-,Toast,Bowl Cut,EL03,EL03,-,-,Level3,Fire Turtleneck,Black Blindfold,Morning,Red,Morning,Skyscape,Outskirts,Elvrem,UnderReolm,-,-,Private,Sky + Scape + Scene
85,Dot,Bored,Long Spike,EL01,EL01,-,-,Level2,Red Coat,Golden Cross Earrings,Afternoon,Red,Afternoon,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
86,White,Buck Teeth,White Bucket Hat,OR01,OR01,-,T,OFF,Two-Tone Tee,Golden Lightning Ear Cuff,Afternoon,Black,Afternoon,Mountain,City,Orcrem,UnderReolm,-,-,Private,Sky + Scape + Scene
87,Devil,-,Blue Sun Hat,SO01,-,SO01,-,Level2,Unbuttoned Two-Tone Shirt,Ohayo Face Veil,Afternoon,Red,Afternoon,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
88,White,Modeling,Ornamental Bun,DE02,DE02,-,R,Level4,Student Dress,Rocker Sunglasses,Evening,Purple,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
89,Closed,Scowling,Blue Bandana,DE01,DE01,-,-,Level2,Purple Baseball Jacket,Stickers,Morning,Purple,Morning,-,-,Devrem,UnderReolm,-,-,Private,Sky
90,Cat,-,Powered-Up,HU01,-,-,R,Level1,Blue Swimsuit,Safety Mask,Afternoon,White,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
91,-,Tricky,Bob,DR03,-,-,-,Level4,White Suit,Ancient Sunglasses,Evening,Black,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
92,Big,Um,Brown Military Watch Cap,HU02,-,-,R,Level2,Cloud Shirt,Nosebleed Tissue,Morning,Red,Morning,Castle,Dump,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
93,-,Star Stamp,Purple Knit Hat,HU02,-,-,-,Level3,Green Vest,90s Sunglasses,Morning,Purple,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
94,Cat,Golden Teeth,White Bucket Hat,DE01,DE01,-,C,OFF,Lightning Shirt,Butterfly Sunglasses,Afternoon,Black,Afternoon,-,-,Devrem,UnderReolm,-,-,Private,Sky
95,Shut,-,Blue Sun Hat,DR02,-,-,C,OFF,White Tank Top,WAGMI Mask,Night,White,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
96,Fighter,Eh,White Helmet,HU01,-,-,T,Level2,Roremu Tee,Golden Snake Earrings,Afternoon,Purple,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
97,X X,Meh,Purple Knit Hat,DR01,-,-,R,Level1,Crimson Leather Jacket,Scars,Morning,Red,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
98,-,Golden Teeth,Ornamental Bun,UN01,UN01,-,-,Level5,Red Vest,Interface Headset,Evening,Red,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
99,Closed,-,White Bucket Hat,DE02,DE02,-,-,Level1,SEAW WA Tee,Ohayo Face Veil,Morning,Black,Morning,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
100,Tricky,-,Green Cap,DE01,DE01,-,-,Level4,Blue-Check Tee,WAGMI Mask,Night,Red,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
101,Geisha,Tricky,Braids,HU02,-,-,-,Level5,Blue Swimsuit,Pearls,Night,White,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
102,Charming,-,Red Cap,DE01,DE01,-,-,Level1,Yellow Drive-Thru Shirt,WAGMI Mask,Night,White,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
103,Angry,Biting Lip,Brown Military Watch Cap,DR03,-,-,-,OFF,Unbuttoned Student Shirt,Minimal Tattoos,Morning,Purple,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
104,Rolling,Cat,Long Spike,DE03,DE03,-,-,OFF,Yellow Baseball Jacket,Earpods,Night,Black,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
105,Third Eye,Tongue Piercing,Red Cap,HU02,-,-,-,Level5,White Tank Top,Rectangle Sunglasses,Afternoon,Black,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
106,Charming,Kiss,Messy Bun,DE03,DE03,-,-,Level1,Bullish Jacket,-,Evening,Black,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
107,-,Naive,White Knit Hat,HU03,-,-,-,OFF,White Turtleneck,White Blindfold,Afternoon,White,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
108,Beautiful,Eh,LOREM Cap,EL01,EL01,-,-,Level3,SEAW WA Tee,Black Snake,Afternoon,White,Afternoon,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
109,Roremu,+,Undercut,HU01,-,-,-,Level1,Black Vest,Heart Eye Patch,Night,Purple,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
110,Sweet,Dental Braces,Yellow Cap,DR02,-,-,-,Level1,Student Shirt,Antenna,Afternoon,Purple,Spectrum,-,-,Droidrem,MiddleReolm,-,-,Private,-
111,Wide,Upset,Ponytail,DE01,DE01,-,T,Level3,White Vest,Hoop Earrings,Night,White,Night,Canyon,City,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
112,Tricky,Tricky,Curly,AN01,AN01,AN01,R,Level2,Blue Puff Jacket,Golden Snake Earrings,Afternoon,Red,Afternoon,-,-,Angrem,UpperReolm,-,-,Private,Gradient Sky
113,Stitched,Yummy,Grey Beanie,DR02,-,-,R,Level3,Red Drive-Thru Shirt,Scars,Afternoon,White,Afternoon,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
114,Big,Chubby,Monk,UN03,UN03,-,C,Level2,Bullish Jacket,Bullish Earrings,Morning,Purple,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
115,+ +,Lip Piercing,Curly,SO03,-,SO03,-,Level2,Purple Turtleneck,-,Afternoon,Red,Afternoon,-,-,Soulrem,UpperReolm,-,-,Private,Sky
116,Geisha,-,Spike,DE02,DE02,-,-,Level1,Blue Track Jacket,Ohayo Face Veil,Morning,Black,Morning,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
117,Laughing,Frog,Short Bangs,UN02,UN02,-,R,OFF,Gas Tee,Tiny Sunglasses,Morning,Red,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
118,Delighted,-,Shoulder Length,DR01,-,-,-,Level3,Classic School Uniform,Black Mask,Evening,Purple,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
119,Hehe,Frog,-,BA01,-,-,-,Level2,-,-,Night,Purple,Night,Stars,Park,Forbidrem,ReReolm,-,-,Private,Sky + Scape + Scene
120,Looking Down,Upset,Ponytail,DR01,-,-,R,Level2,Argyle Sweater,Golden Snake Earrings,Evening,Black,Evening,Castle,Temple,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
121,Panda,Tongue Out,LOREM Cap,EL01,EL01,-,R,Level2,Fire Turtleneck,Bullish Earrings,Night,White,Night,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
122,Baka,-,Two-Tone Middle Part,DR02,-,-,C,Level1,Red Haori,Oni Mask,Night,Red,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
123,Wide,Droid,Buzz,EL01,EL01,-,C,Level5,Black Vest,Bullish Earrings,Morning,White,Morning,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
124,Satisfied,-,Buzz,DR03,-,-,T,Level2,Cloud Sweater,Safety Mask,Afternoon,Red,Afternoon,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
125,Shut,Tongue Out,LOREM Cap,DE01,DE01,-,R,Level5,Unbuttoned Two-Tone Shirt,White Glasses,Night,Purple,Night,Mother,Park,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
126,Hehe,Smiling,Curly,DR01,-,-,-,Level3,Blue Haori Jacket,Golden Elf Ear Cuffs,Evening,Black,Evening,Valley,Downtown,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
127,-,Dot,Bob,HU01,-,-,-,Level3,Green Turtleneck,90s Sunglasses,Morning,Purple,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
128,Naive,Poo Poo,Long Bob,DE01,DE01,-,R,Level3,Student Shirt,Scars,Evening,Red,Evening,Mountain,Dump,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
129,Geisha,-,Short Ponytail,DE02,DE02,-,C,Level1,Yellow Vest,WAGMI Mask,Night,Black,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
130,Alien,Bored,Short Punk Mullet,UN02,UN02,-,-,OFF,Black Vest,Nosebleed Tissue,Morning,Black,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
131,-,Smiling,Purple Knit Hat,HU01,-,-,T,Level1,Pink Suit,Ancient Sunglasses,Morning,Red,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
132,Bored,-,Dreadlocks,DE01,DE01,-,C,OFF,Student Shirt,Talisman,Night,Red,Night,-,Outskirts,Devrem,UnderReolm,-,-,Private,Sky + Scene
133,-,Happy,Left Over,DE02,DE02,-,-,Level3,LOREM Black Tee,Ancient Sunglasses,Night,Red,Night,Mountain,Balcony,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
134,-,F,Blue Bandana,EL03,EL03,-,-,Level3,Classic School Uniform,90s Sunglasses,Evening,Black,Evening,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
135,Samurai,Porcelain Lips,Grey Beanie,EL01,EL01,-,-,Level1,Micrapple Tee,-,Night,Black,Night,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
136,-,Coffee,Monk,DE03,DE03,-,T,OFF,Rolled-Sleeve Tee,Ancient Sunglasses,Morning,Red,Keeper,-,-,Devrem,UnderReolm,-,-,Private,-
137,-,Confident,Low Braid,DR02,-,-,-,Level4,Red Bear Race Suit,Black Blindfold,Afternoon,Purple,Afternoon,Valley,Park,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
138,Third Eye,Dental Braces,Buzz,HU01,-,-,-,Level5,Nobody Hoodie,Nosebleed Tissue,Night,White,Night,-,-,Hurem,MiddleReolm,-,-,Private,Sky
139,Looking Down,Swallowed Eye,Two-Tone Middle Part,DR01,DR01,DR01,R,Level1,Black Turtleneck,Pearls,Afternoon,Red,Afternoon,Mother,Balcony,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
140,Fighter,Lip Piercing,Short Ponytail,EL02,EL02,-,R,Level3,LOREM Black Tee,Golden Snake Earrings,Night,White,Night,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
141,Shocked,Poo Poo,Long Bob,HU03,-,-,-,Level4,Black Turtleneck,Golden Fire Ear Cuff,Morning,Purple,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
